N,P,K,soil_ph,temperature,humidity,soil_moisture,crop
135,80,34,11.14,35.29,75.27,69.24,Soybean
105,46,85,1.82,31.72,88.55,68.76,Soybean
62,66,60,1.68,32.18,74.31,80.77,Soybean
105,33,119,10.63,27.37,57.05,50.2,Soybean
115,26,30,7.28,30.43,88.68,82.26,Soybean
127,34,116,9.1,37.9,50.65,47.85,Soybean
105,65,42,11.09,35.37,60.19,74.21,Soybean
77,47,61,0.24,35.98,73.89,57.32,Soybean
113,62,98,1.22,37.9,50.8,68.09,Soybean
120,29,113,8.74,36.63,58.23,69.2,Soybean
131,70,80,8.98,25.11,63.12,59.71,Soybean
113,22,36,9.25,28.16,59.6,55.03,Soybean
105,95,87,12.13,33.11,52.15,66.78,Soybean
90,96,106,13.95,31.15,71.37,67.79,Soybean
149,63,61,4.58,39.59,51.53,65.41,Soybean
90,73,47,11.95,26.16,66.49,59.88,Soybean
149,53,75,9.76,26.47,75.76,65.87,Soybean
53,84,37,7.47,34.21,53.93,71.47,Soybean
106,44,113,11.89,38.11,83.2,51.94,Soybean
79,82,55,9.47,28.4,57.86,87.8,Soybean
137,89,47,5.22,32.11,68.11,89.79,Soybean
133,64,75,3.82,32.04,55.99,54.23,Soybean
95,87,31,11.25,30.6,85.02,89.83,Soybean
105,45,76,12.13,32.85,70.11,81.61,Soybean
80,45,78,12.82,37.49,87.82,66.16,Soybean
137,45,87,5.29,39.86,66.79,77.55,Soybean
56,97,117,12.03,34.18,85.54,87.71,Soybean
139,81,37,0.9,28.16,75.58,72.52,Soybean
126,80,51,8.1,33.2,68.26,60.61,Soybean
103,21,54,11.18,30.37,82.49,87.97,Soybean
57,60,100,3.42,38.47,80.24,83.07,Soybean
104,64,107,6.41,38.39,72.54,89.3,Soybean
118,33,73,2.47,25.19,88.25,82.49,Soybean
93,56,58,1.28,30.68,58.99,46.58,Soybean
62,21,36,4.64,39.0,55.04,64.84,Soybean
142,24,110,6.63,33.1,55.56,57.76,Soybean
69,21,112,4.68,25.99,79.68,77.0,Soybean
127,20,54,1.47,33.81,66.1,71.0,Soybean
81,67,37,10.05,36.1,72.5,65.6,Soybean
109,41,105,8.5,38.95,72.07,64.76,Soybean
99,60,32,4.45,35.86,83.78,79.84,Soybean
76,44,60,7.99,33.14,71.58,68.85,Soybean
74,65,101,8.97,26.23,66.46,73.04,Soybean
101,28,97,3.09,33.51,58.06,66.62,Soybean
117,80,61,10.98,34.77,53.93,71.47,Soybean
70,66,36,13.85,33.01,73.21,64.31,Soybean
67,93,43,6.68,25.33,53.53,54.94,Soybean
88,98,63,3.35,37.24,50.73,50.95,Soybean
64,22,98,12.29,25.13,88.15,80.65,Soybean
102,27,41,12.32,30.84,59.54,73.03,Soybean
87,44,66,8.57,39.27,86.95,59.47,Soybean
97,55,56,13.69,39.83,76.28,74.89,Soybean
101,62,114,10.41,36.57,81.74,63.72,Soybean
137,69,106,10.91,28.2,50.66,88.44,Soybean
121,82,118,10.9,30.0,84.18,78.99,Soybean
77,53,63,9.53,33.69,78.28,63.71,Soybean
134,92,71,4.65,30.03,63.06,80.95,Soybean
65,29,93,1.1,27.01,87.77,59.13,Soybean
65,46,77,1.75,37.61,83.36,58.54,Soybean
84,32,46,3.35,26.81,60.8,79.2,Soybean
66,70,50,6.37,29.52,74.52,51.43,Soybean
122,87,44,11.33,33.19,80.87,63.73,Soybean
148,35,55,6.67,31.08,74.99,53.54,Soybean
101,31,62,3.96,32.18,79.95,57.41,Soybean
142,44,119,13.06,29.91,71.61,78.41,Soybean
131,68,41,12.23,28.49,56.08,65.18,Soybean
61,35,51,12.11,32.51,62.82,82.09,Soybean
132,21,103,13.14,32.56,74.25,70.31,Soybean
97,92,102,13.81,38.38,83.79,72.12,Soybean
71,96,114,6.54,34.43,50.79,46.09,Soybean
98,97,103,13.56,35.93,71.01,79.98,Soybean
101,95,74,8.91,38.23,89.19,81.66,Soybean
128,54,36,10.89,31.15,89.91,52.9,Soybean
50,41,92,0.26,26.32,61.59,57.22,Soybean
115,67,57,12.41,37.26,82.43,75.99,Soybean
113,83,111,1.91,27.04,83.75,83.9,Soybean
57,86,108,11.58,30.27,83.32,78.53,Soybean
135,41,69,12.09,25.58,56.04,73.7,Soybean
74,92,118,5.67,26.88,68.62,86.09,Soybean
115,66,90,7.11,33.31,52.64,71.2,Soybean
122,59,79,3.65,38.58,52.68,55.63,Soybean
122,72,109,13.66,34.87,59.72,66.49,Soybean
126,22,39,13.39,32.17,67.73,69.91,Soybean
119,25,54,7.86,26.25,63.48,78.87,Soybean
143,33,41,10.15,39.5,70.88,64.01,Soybean
128,77,30,8.75,26.2,52.48,83.71,Soybean
100,26,102,4.63,28.75,79.24,88.72,Soybean
102,48,113,9.61,25.33,56.73,83.55,Soybean
64,22,67,3.54,33.34,63.88,81.9,Soybean
99,32,111,7.31,32.49,73.45,76.57,Soybean
120,55,66,11.79,25.7,57.66,51.49,Soybean
124,57,88,4.96,39.45,75.85,86.99,Soybean
87,94,41,7.73,28.11,72.39,63.53,Soybean
89,79,66,5.51,33.34,74.54,49.78,Soybean
115,92,41,1.42,33.04,60.36,89.36,Soybean
88,41,85,3.91,33.55,77.46,83.25,Soybean
123,40,68,10.18,26.91,72.34,56.56,Soybean
66,52,105,3.04,27.51,55.8,77.79,Soybean
56,23,85,12.1,26.51,66.76,88.54,Soybean
88,99,85,13.13,34.91,84.45,63.3,Soybean
117,63,61,12.95,34.84,85.13,53.38,Soybean
84,20,62,6.61,31.28,69.82,56.05,Soybean
100,81,53,13.31,38.76,87.67,50.39,Soybean
96,98,60,9.17,29.28,75.35,64.8,Soybean
85,41,91,9.64,29.61,62.49,51.42,Soybean
113,78,119,8.52,37.61,57.95,75.05,Soybean
144,56,31,8.23,33.64,76.95,76.81,Soybean
138,42,81,10.04,35.71,85.91,65.42,Soybean
62,52,110,8.24,39.65,83.79,87.66,Soybean
67,41,30,12.07,38.29,68.81,79.21,Soybean
70,83,81,1.25,34.9,79.52,88.24,Soybean
114,81,104,8.26,39.74,75.12,75.42,Soybean
149,73,33,3.61,38.9,60.97,69.68,Soybean
57,77,37,12.99,33.4,88.08,64.99,Soybean
97,31,76,4.77,30.93,76.12,53.77,Soybean
134,37,50,13.12,30.1,63.96,76.52,Soybean
92,86,104,7.04,25.68,88.97,67.76,Soybean
102,79,41,6.58,36.45,77.42,74.26,Soybean
134,20,119,8.3,29.53,60.09,74.29,Soybean
76,39,63,9.24,36.43,63.41,56.97,Soybean
68,36,103,4.44,31.78,64.38,70.59,Soybean
72,68,102,1.95,29.65,80.58,51.04,Soybean
99,41,106,9.4,32.04,70.53,53.73,Soybean
100,52,105,6.45,35.37,77.4,55.23,Soybean
92,45,110,9.12,29.92,86.42,70.49,Soybean
148,46,97,13.77,27.58,84.17,76.65,Soybean
100,79,93,6.28,27.64,64.59,65.71,Soybean
118,53,57,6.28,39.3,68.55,60.22,Soybean
90,99,70,7.89,26.78,52.0,52.45,Soybean
121,97,113,11.06,34.23,75.92,83.26,Soybean
60,71,100,10.28,35.19,77.61,52.47,Soybean
129,74,101,3.98,30.2,63.44,55.89,Soybean
137,80,76,11.59,29.32,89.37,89.48,Soybean
134,69,44,6.85,30.8,88.32,55.52,Soybean
101,82,105,12.42,34.36,63.19,60.64,Soybean
72,83,50,4.6,37.72,87.08,70.76,Soybean
98,33,77,13.08,33.5,76.85,57.55,Soybean
87,70,109,8.85,34.96,89.5,64.84,Soybean
96,46,68,2.37,30.86,86.24,47.15,Soybean
121,59,61,5.08,36.63,65.52,70.72,Soybean
56,87,35,4.05,32.89,69.62,53.04,Soybean
115,28,117,4.15,31.21,50.36,49.85,Soybean
143,75,47,2.86,38.05,87.11,67.26,Soybean
126,58,85,3.88,28.2,88.49,45.55,Soybean
111,34,103,10.8,39.08,75.48,72.5,Soybean
136,37,38,13.58,39.55,86.87,70.34,Soybean
78,71,42,8.93,32.45,68.25,85.43,Soybean
87,80,56,6.15,25.94,78.96,63.02,Soybean
133,56,37,7.2,31.37,75.52,55.48,Soybean
82,99,82,11.36,27.31,53.7,85.07,Soybean
78,72,95,8.58,37.99,89.11,72.59,Soybean
128,31,33,4.8,27.2,61.57,68.52,Soybean
72,44,103,3.08,31.25,71.52,45.61,Soybean
52,98,43,7.59,32.38,76.75,61.8,Soybean
142,44,54,11.14,32.55,53.73,45.95,Soybean
94,40,70,1.56,39.1,68.51,77.04,Soybean
57,26,107,4.79,39.5,52.8,69.51,Soybean
135,95,103,0.0,30.16,67.98,47.99,Soybean
78,68,101,13.89,38.61,67.3,78.68,Soybean
51,58,35,13.11,25.86,59.79,67.12,Soybean
99,94,34,8.55,26.02,69.2,70.66,Soybean
114,68,50,2.9,34.87,79.89,82.77,Soybean
69,53,78,0.14,29.08,64.24,53.07,Soybean
101,94,52,1.66,28.55,69.65,67.24,Soybean
134,35,66,13.55,27.58,79.39,54.54,Soybean
86,34,112,0.81,32.44,67.1,80.63,Soybean
121,59,82,13.6,27.59,87.66,68.97,Soybean
76,98,78,10.1,37.93,83.98,46.52,Soybean
96,26,113,11.35,27.12,78.3,65.71,Soybean
148,59,39,11.72,27.61,85.25,71.56,Soybean
55,85,111,3.65,31.05,51.38,88.09,Soybean
109,89,49,4.03,39.94,76.77,49.42,Soybean
94,41,77,5.17,26.92,74.16,80.17,Soybean
93,78,40,10.04,38.39,72.59,53.69,Soybean
132,24,108,1.06,35.29,69.29,84.43,Soybean
67,37,40,8.44,36.41,81.44,71.51,Soybean
114,30,68,1.45,33.88,68.54,57.86,Soybean
74,27,30,12.58,29.55,51.2,45.48,Soybean
76,39,93,3.24,29.21,52.96,64.67,Soybean
56,94,76,1.1,33.51,62.34,80.08,Soybean
93,78,37,10.65,35.23,88.42,51.34,Soybean
78,44,105,2.8,30.45,77.29,77.44,Soybean
144,77,77,8.91,29.35,81.48,52.35,Soybean
93,38,112,11.82,26.94,83.79,52.95,Soybean
85,21,111,11.14,30.93,72.35,65.19,Soybean
68,77,48,11.43,32.04,89.6,81.31,Soybean
55,85,117,1.7,28.3,68.08,67.46,Soybean
74,26,95,6.04,29.39,81.2,74.86,Soybean
80,70,93,13.51,35.25,74.52,74.37,Soybean
58,52,101,4.04,33.49,67.04,57.57,Soybean
133,94,91,10.21,30.41,66.57,48.26,Soybean
123,32,82,7.04,38.87,59.86,75.86,Soybean
86,29,102,6.88,25.43,61.96,86.61,Soybean
76,78,52,0.46,37.55,63.07,46.18,Soybean
62,57,58,3.25,27.13,86.62,58.16,Soybean
90,39,100,2.34,34.93,76.15,60.61,Soybean
115,33,34,6.3,27.33,82.75,79.34,Soybean
134,59,69,7.87,35.23,84.33,69.93,Soybean
146,26,61,0.27,33.41,76.37,56.66,Soybean
73,88,32,8.86,25.99,54.35,61.62,Soybean
93,25,39,4.15,35.9,51.84,45.84,Soybean
147,59,91,5.64,31.92,59.64,73.31,Soybean
109,72,69,11.35,31.47,69.24,84.2,Soybean
58,28,74,3.71,34.15,89.08,49.1,Soybean
51,84,112,1.81,36.29,80.53,60.4,Soybean
105,39,118,11.39,27.48,67.42,58.4,Soybean
79,25,113,13.76,26.02,76.6,45.45,Soybean
71,96,75,13.56,32.92,56.76,84.75,Soybean
124,58,103,8.42,31.25,65.06,86.4,Soybean
130,40,80,3.02,35.07,62.77,58.55,Soybean
149,56,40,5.04,32.84,63.15,69.16,Soybean
62,31,107,11.58,32.54,73.24,71.36,Soybean
120,89,80,9.22,25.79,80.12,60.63,Soybean
65,34,34,13.11,33.05,84.76,54.16,Soybean
146,40,57,3.88,38.56,60.31,58.67,Soybean
94,65,112,1.75,27.89,81.12,68.61,Soybean
114,90,62,3.47,26.56,67.62,45.95,Soybean
60,29,31,3.99,37.33,64.04,51.43,Soybean
119,85,111,1.39,36.55,89.32,71.45,Soybean
69,95,39,4.14,32.47,58.95,62.39,Soybean
148,58,85,7.66,28.3,59.88,72.84,Soybean
112,41,44,6.21,31.42,85.56,60.7,Soybean
139,61,115,8.96,27.76,66.71,70.08,Soybean
61,25,56,0.96,37.79,78.41,60.72,Soybean
111,71,56,2.6,38.07,89.98,74.46,Soybean
143,56,115,12.11,30.88,67.86,81.23,Soybean
141,25,50,8.09,36.16,66.57,64.48,Soybean
140,92,60,12.01,35.96,52.15,84.01,Soybean
91,48,90,1.08,31.4,73.23,47.95,Soybean
132,88,99,12.18,26.43,63.9,61.23,Soybean
118,70,42,10.39,34.33,58.63,66.79,Soybean
107,96,69,6.94,25.82,81.22,68.34,Soybean
54,46,44,8.67,35.19,61.82,69.62,Soybean
76,56,88,3.93,33.2,53.94,89.93,Soybean
77,65,71,6.46,34.59,83.61,57.98,Soybean
75,44,52,8.11,30.82,64.46,65.18,Soybean
140,56,93,5.92,27.87,73.65,78.76,Soybean
98,42,83,12.0,25.34,58.39,74.93,Soybean
70,45,37,6.46,29.29,60.58,72.58,Soybean
50,95,57,1.83,25.58,87.5,87.66,Soybean
141,71,100,10.87,35.97,50.42,68.21,Soybean
107,22,42,0.55,31.9,88.56,85.29,Soybean
128,92,71,12.79,35.99,86.79,88.7,Soybean
104,98,60,0.52,35.71,62.15,46.0,Soybean
130,91,42,0.43,33.01,57.47,78.74,Soybean
75,47,64,13.63,31.68,52.97,49.46,Soybean
133,99,79,1.31,27.75,73.95,87.72,Soybean
74,53,100,12.11,35.85,82.07,86.62,Soybean
126,84,51,10.38,38.35,50.2,76.18,Soybean
82,48,69,7.37,37.88,77.16,69.6,Soybean
138,23,81,4.44,36.29,54.99,60.01,Soybean
121,87,38,8.26,28.53,54.77,68.38,Soybean
118,81,61,9.82,29.8,80.3,74.56,Soybean
55,57,32,9.42,35.7,65.53,63.98,Soybean
72,86,93,3.86,32.43,59.0,60.66,Soybean
79,21,50,9.83,31.13,85.48,57.73,Soybean
127,95,106,5.07,29.19,58.86,73.76,Soybean
103,63,65,4.77,26.56,74.89,57.29,Soybean
136,98,39,1.41,26.99,54.1,69.57,Soybean
60,51,47,4.51,39.66,70.57,52.01,Soybean
80,22,30,13.77,28.66,78.3,60.3,Soybean
55,36,60,11.36,38.47,73.57,88.43,Soybean
60,31,55,0.46,26.95,76.49,47.11,Soybean
126,83,109,5.75,35.97,72.98,46.23,Soybean
61,82,67,5.61,39.29,82.58,71.16,Soybean
115,97,84,6.3,25.41,56.17,51.46,Soybean
102,91,105,9.11,34.53,89.38,49.48,Soybean
148,60,72,10.58,39.76,83.8,56.37,Soybean
85,21,72,1.51,25.32,66.24,86.35,Soybean
66,72,80,3.26,27.31,55.98,60.78,Soybean
77,53,89,2.51,34.93,51.58,89.8,Soybean
141,93,87,0.42,30.15,56.22,69.5,Soybean
71,59,89,3.5,29.47,80.18,73.41,Soybean
56,90,105,6.65,26.49,83.39,49.22,Soybean
64,84,34,1.38,27.44,59.34,65.08,Soybean
145,74,71,6.62,30.73,71.76,51.25,Soybean
60,93,31,10.69,26.22,77.11,68.66,Soybean
73,70,89,9.95,33.8,52.46,88.51,Soybean
116,24,41,13.66,37.69,84.05,75.22,Soybean
79,75,43,12.02,27.75,60.24,74.94,Soybean
119,40,76,5.66,26.95,63.14,77.32,Soybean
115,77,83,7.42,35.82,71.36,62.07,Soybean
110,92,64,10.03,33.34,64.35,80.15,Soybean
127,50,76,6.91,30.88,89.58,55.02,Soybean
90,65,46,4.02,39.32,86.18,86.17,Soybean
131,46,32,11.75,29.4,53.09,56.54,Soybean
100,89,102,10.11,29.11,58.93,67.6,Soybean
93,50,89,7.72,34.98,70.37,58.56,Soybean
144,60,100,5.65,32.28,62.67,72.67,Soybean
62,64,93,0.19,27.83,61.1,65.63,Soybean
139,55,113,2.14,31.58,88.66,52.83,Soybean
61,21,90,12.87,25.46,70.81,45.77,Soybean
131,81,105,3.75,35.06,88.64,86.13,Soybean
58,40,36,3.21,26.22,66.25,79.29,Soybean
134,53,91,8.99,25.8,71.99,69.17,Soybean
97,32,58,1.04,31.59,51.78,70.85,Soybean
98,38,47,12.15,37.18,72.23,57.4,Soybean
102,52,31,10.19,32.71,59.07,83.72,Soybean
105,68,77,13.7,26.45,55.78,83.76,Soybean
89,22,40,12.73,31.31,78.92,82.23,Soybean
73,57,55,13.04,26.78,77.13,87.64,Soybean
147,90,48,5.13,36.71,75.38,77.63,Soybean
121,34,88,11.01,25.68,81.98,45.23,Soybean
82,57,113,0.51,39.88,58.69,59.17,Soybean
72,44,117,11.08,27.82,72.16,49.52,Soybean
126,80,42,6.04,37.09,60.27,60.18,Soybean
103,69,35,13.55,32.93,62.74,78.62,Soybean
102,29,69,11.34,37.74,71.19,57.62,Soybean
98,69,66,3.79,39.8,69.52,56.58,Soybean
127,61,94,11.79,25.09,85.21,48.32,Soybean
127,90,81,1.42,29.95,58.64,70.43,Soybean
129,71,31,11.85,37.16,55.89,72.0,Soybean
98,65,70,0.85,39.71,72.54,55.36,Soybean
109,59,91,6.88,26.05,54.01,72.19,Soybean
139,77,59,4.04,33.94,58.73,66.19,Soybean
139,43,117,2.53,25.57,85.38,45.86,Soybean
114,88,67,4.45,36.15,50.72,51.72,Soybean
81,59,59,10.13,38.32,79.82,47.14,Soybean
128,39,38,3.24,26.8,86.91,85.62,Soybean
70,48,45,12.3,30.96,86.2,59.08,Soybean
67,56,64,11.48,31.26,72.01,81.86,Soybean
143,39,105,11.56,29.37,71.08,54.46,Soybean
109,37,105,8.35,30.53,70.9,49.39,Soybean
62,23,80,11.75,34.63,66.0,63.84,Soybean
73,30,38,10.78,31.77,78.45,78.99,Soybean
79,83,58,11.66,29.13,61.23,68.71,Soybean
51,71,80,7.88,31.75,64.18,46.06,Soybean
132,62,114,7.71,28.64,50.33,46.96,Soybean
74,33,46,7.94,31.41,76.79,75.49,Soybean
99,64,62,7.33,38.63,88.41,53.76,Soybean
63,47,63,10.29,37.11,64.17,56.15,Soybean
55,23,119,0.45,39.53,53.45,80.7,Soybean
125,35,47,2.35,36.11,67.14,70.81,Soybean
133,57,118,6.45,27.06,62.55,64.56,Soybean
136,82,81,0.81,26.03,52.87,47.93,Soybean
79,42,80,5.38,28.35,50.87,86.05,Soybean
79,96,79,12.84,33.08,59.05,61.34,Soybean
87,39,77,12.93,38.41,54.24,47.35,Soybean
107,88,74,0.58,39.1,75.2,58.61,Soybean
143,40,108,12.07,28.1,76.79,45.93,Soybean
90,61,95,9.97,30.92,76.39,52.63,Soybean
143,88,116,1.08,37.71,88.33,61.91,Soybean
106,33,74,11.0,37.06,76.57,63.69,Soybean
85,89,99,8.82,36.08,74.92,89.24,Soybean
113,24,48,11.87,33.21,78.25,52.33,Soybean
147,43,63,8.8,31.56,63.59,47.5,Soybean
65,48,66,8.03,26.35,78.79,85.42,Soybean
137,21,88,2.83,36.03,76.0,78.17,Soybean
127,25,75,11.74,25.74,89.88,61.8,Soybean
139,53,92,9.45,28.96,59.06,75.03,Soybean
121,95,116,13.65,32.48,52.75,76.66,Soybean
63,41,108,3.85,33.69,83.56,63.23,Soybean
80,23,31,7.11,35.1,87.53,69.14,Soybean
115,25,67,8.83,31.34,77.47,68.6,Soybean
117,86,118,2.7,30.31,80.79,73.83,Soybean
114,96,101,4.78,34.74,68.43,58.65,Soybean
104,82,89,12.08,35.02,79.19,83.95,Soybean
133,92,104,8.05,37.71,78.59,79.19,Soybean
127,87,58,13.29,26.26,83.99,77.7,Soybean
89,53,89,0.27,30.57,62.65,74.5,Soybean
74,91,98,0.85,30.17,51.97,70.16,Soybean
74,53,66,13.97,28.98,68.39,58.05,Soybean
52,76,113,9.91,28.53,70.15,67.66,Soybean
118,56,41,13.47,26.45,83.5,52.26,Soybean
75,25,109,5.68,32.94,73.23,56.64,Soybean
89,90,114,0.9,33.46,74.9,82.18,Soybean
87,64,66,10.81,25.85,55.74,49.82,Soybean
87,60,87,1.32,28.8,79.14,86.1,Soybean
117,24,84,8.92,35.97,86.34,51.95,Soybean
56,79,50,0.43,28.52,85.03,89.54,Soybean
143,86,37,5.08,36.14,75.46,87.14,Soybean
79,36,50,4.41,39.39,80.68,74.09,Soybean
68,84,96,2.86,39.44,79.33,58.75,Soybean
84,74,88,5.46,28.49,81.62,89.32,Soybean
82,28,76,13.39,32.31,79.4,50.82,Soybean
82,23,114,12.95,25.82,66.77,65.42,Soybean
127,61,61,2.31,36.63,76.21,50.25,Soybean
87,65,87,9.72,34.12,83.65,72.25,Soybean
59,93,55,1.8,31.38,84.27,64.28,Soybean
106,20,42,1.96,26.89,77.64,51.45,Soybean
77,36,44,13.16,33.74,89.44,84.86,Soybean
127,98,31,4.7,25.94,56.77,80.39,Soybean
149,26,62,1.76,32.4,80.41,84.58,Soybean
87,24,93,3.96,27.58,74.76,68.45,Soybean
65,71,60,8.8,37.67,63.89,87.69,Soybean
70,72,94,11.03,29.74,71.39,45.86,Soybean
141,22,108,12.22,36.34,52.85,82.69,Soybean
146,81,83,8.2,37.25,83.83,57.29,Soybean
55,51,44,10.68,30.26,79.01,79.7,Soybean
90,21,113,9.36,27.6,51.49,67.25,Soybean
64,99,81,5.01,31.59,82.51,78.91,Soybean
52,72,100,5.76,25.85,86.92,68.21,Soybean
92,31,72,12.32,32.43,84.23,53.57,Soybean
96,24,41,4.79,39.93,81.83,59.35,Soybean
148,23,106,8.0,39.2,87.95,69.26,Soybean
63,75,34,1.91,27.44,56.87,52.59,Soybean
115,99,35,10.88,39.96,82.18,57.86,Soybean
78,83,34,3.61,28.23,71.18,83.78,Soybean
53,64,91,1.84,37.29,72.93,72.28,Soybean
75,79,74,13.83,29.45,69.53,46.76,Soybean
61,39,68,6.7,38.94,87.27,84.14,Soybean
51,72,99,9.63,28.79,73.42,88.32,Soybean
66,92,35,0.25,32.38,78.49,84.08,Soybean
84,35,104,9.49,37.59,86.31,57.74,Soybean
59,49,45,4.4,34.82,89.4,46.45,Soybean
135,39,96,1.14,32.62,67.68,58.86,Soybean
92,71,115,9.91,38.3,87.41,49.47,Soybean
70,55,61,2.63,32.93,58.38,73.64,Soybean
64,41,54,7.05,25.94,59.82,68.92,Soybean
84,20,111,0.44,30.15,55.44,78.4,Soybean
134,40,112,5.57,31.11,60.43,60.64,Soybean
134,67,64,9.19,32.82,53.58,72.89,Soybean
134,91,75,9.15,26.76,89.39,85.82,Soybean
109,24,93,12.66,33.15,89.18,84.3,Soybean
93,59,83,6.54,25.36,54.46,72.55,Soybean
145,98,56,3.77,27.37,63.07,57.06,Soybean
54,64,111,12.36,34.39,63.57,57.04,Soybean
122,50,42,12.26,38.15,55.65,84.9,Soybean
67,34,60,9.3,32.24,75.4,49.78,Soybean
70,77,96,7.14,32.63,79.29,55.74,Soybean
121,72,60,12.01,27.24,59.51,80.28,Soybean
147,64,117,12.79,28.73,86.42,71.56,Soybean
123,86,91,11.51,30.19,78.34,76.58,Soybean
100,61,66,0.26,27.87,89.02,51.59,Soybean
90,43,51,1.1,35.76,56.29,78.71,Soybean
73,57,74,13.86,35.59,73.48,61.17,Soybean
73,70,44,8.78,31.69,89.37,88.88,Soybean
145,43,91,8.06,33.13,55.22,47.94,Soybean
146,96,107,9.17,37.97,89.27,56.36,Soybean
87,52,77,0.9,31.08,89.15,68.63,Soybean
93,38,44,13.66,35.05,71.09,50.42,Soybean
106,44,58,6.52,36.93,79.49,77.82,Soybean
108,89,55,3.9,26.61,72.34,78.43,Soybean
83,68,51,1.46,38.83,81.59,78.6,Soybean
124,36,33,7.83,31.61,62.68,69.82,Soybean
144,40,62,11.69,34.72,67.72,54.46,Soybean
131,62,86,7.74,33.03,58.95,59.49,Soybean
72,95,98,7.63,25.22,58.28,48.84,Soybean
135,96,57,5.77,33.25,69.74,88.19,Soybean
92,41,64,5.37,27.64,82.45,83.73,Soybean
131,82,71,10.49,28.88,55.44,80.3,Soybean
89,43,61,11.82,33.74,70.62,68.73,Soybean
96,52,75,9.05,26.98,50.22,47.37,Soybean
90,86,53,5.05,39.45,58.43,58.82,Soybean
96,36,102,8.74,35.26,73.17,60.91,Soybean
69,67,77,11.89,36.21,56.74,69.76,Soybean
126,63,83,3.7,27.32,64.79,62.69,Soybean
114,44,47,12.65,36.59,56.51,70.58,Soybean
117,91,40,12.01,34.68,86.45,61.66,Soybean
73,79,51,5.88,32.63,73.09,73.75,Soybean
149,48,116,5.93,25.98,83.65,64.0,Soybean
85,31,106,11.12,38.27,71.5,76.03,Soybean
94,28,87,2.67,26.57,58.87,54.88,Soybean
51,72,103,2.58,38.76,54.97,76.97,Soybean
77,80,72,1.95,30.03,67.95,49.94,Soybean
75,50,35,1.14,25.64,57.9,56.02,Soybean
72,67,114,6.62,31.85,56.16,56.91,Soybean
128,98,64,2.08,35.57,58.9,65.29,Soybean
85,66,32,11.19,26.55,70.64,63.57,Soybean
140,52,114,6.86,26.73,71.15,77.29,Soybean
55,86,113,7.61,26.36,69.1,62.31,Soybean
84,83,72,12.75,25.69,80.97,49.25,Soybean
87,36,63,12.28,34.9,67.51,72.24,Soybean
84,63,32,11.01,39.54,79.84,78.71,Soybean
149,24,74,10.81,38.2,67.1,56.5,Soybean
123,81,74,11.82,27.19,59.65,82.36,Soybean
143,82,66,13.05,25.5,62.64,51.0,Soybean
102,98,82,5.6,39.31,87.22,58.4,Soybean
87,58,34,3.37,32.1,66.73,64.28,Soybean
142,91,79,4.94,38.03,62.1,84.54,Soybean
108,61,104,7.57,26.89,55.57,56.03,Soybean
92,40,93,2.63,31.57,59.03,54.23,Soybean
53,66,46,12.2,28.09,70.62,82.33,Soybean
54,93,33,0.48,36.68,83.07,45.52,Soybean
117,47,37,13.35,34.3,73.6,74.6,Soybean
149,40,70,1.26,38.07,82.51,65.43,Soybean
94,47,51,12.59,30.0,51.54,53.37,Soybean
129,38,56,5.13,37.23,71.18,53.06,Soybean
74,82,87,12.51,35.75,78.22,54.34,Soybean
127,71,35,0.13,31.21,65.7,47.87,Soybean
60,57,60,1.44,32.55,54.6,52.42,Soybean
78,65,88,9.77,28.32,65.98,62.84,Soybean
83,43,33,10.23,31.72,67.55,50.45,Soybean
135,64,76,3.75,25.78,69.98,48.24,Soybean
63,96,72,4.07,38.1,89.6,55.68,Soybean
73,28,89,8.89,37.8,84.95,50.54,Soybean
108,28,57,11.2,33.06,60.26,59.07,Soybean
88,40,118,13.15,37.07,60.09,59.85,Soybean
75,43,92,8.56,39.68,66.87,85.39,Soybean
92,83,46,3.71,34.55,76.41,65.3,Soybean
85,59,79,3.21,31.06,56.47,86.34,Soybean
88,93,46,0.69,32.71,71.85,87.08,Soybean
110,71,39,3.55,34.93,87.77,88.32,Soybean
65,23,77,4.98,30.04,82.04,85.33,Soybean
108,22,51,9.17,29.37,84.18,74.66,Soybean
145,32,93,8.95,28.86,89.88,81.13,Soybean
55,40,59,0.0,33.76,72.12,72.76,Soybean
147,27,49,6.65,29.85,62.85,79.75,Soybean
105,92,43,7.09,30.64,53.68,49.75,Soybean
57,20,44,7.53,26.18,59.93,49.24,Soybean
143,33,72,1.03,37.61,57.82,72.26,Soybean
76,95,86,1.73,34.43,82.99,72.02,Soybean
120,55,48,10.33,28.78,67.46,75.17,Soybean
76,41,82,5.85,26.08,86.22,70.97,Soybean
138,55,69,0.17,28.2,50.65,76.94,Soybean
95,64,52,10.19,35.31,55.07,55.3,Soybean
90,35,107,4.16,36.81,81.65,64.55,Soybean
128,30,51,0.39,33.04,71.86,71.83,Soybean
74,86,101,0.93,30.55,66.26,51.9,Soybean
135,44,60,12.01,28.68,67.32,68.98,Soybean
67,86,45,11.73,37.49,61.36,54.41,Soybean
61,50,83,7.95,31.93,51.63,75.03,Soybean
136,84,53,10.26,39.67,89.95,89.5,Soybean
100,30,50,13.84,32.53,59.51,68.14,Soybean
88,99,101,1.0,32.14,83.02,83.49,Soybean
138,57,111,3.78,26.04,63.2,90.0,Soybean
59,21,67,12.57,26.5,64.14,58.69,Soybean
